Lat,Lng,Max Temp (F),Rain (mm)
32.25,-80.75,86.4,0.0
27.0,-82.25,90.3,0.8
33.75,-79.0,83.8,0.0
28.0,-82.75,83.0,1.0
30.25,-89.75,82.6,72.6
32.75,-80.25,75.7,0.0
32.25,-80.75,88.7,0.2
26.0,-80.25,83.9,6.0
32.75,-80.0,97.3,0.0
28.5,-81.5,93.8,1.7
28.0,-82.0,89.7,11.8
27.75,-80.5,82.5,0.0
29.0,-81.25,76.6,0.0
30.0,-93.75,86.5,2.9
25.75,-80.5,80.0,1.1
32.0,-81.0,80.9,6.8
29.25,-81.75,91.5,0.0
28.0,-82.75,76.6,0.0
26.25,-80.25,89.5,4.9
27.0,-82.0,92.7,3.6
28.0,-82.0,74.2,1.0
26.25,-81.75,83.3,19.1
28.25,-81.5,89.0,0.3
30.5,-86.0,82.1,14.1
26.25,-81.75,83.4,8.4
28.0,-81.75,77.4,5.0
27.0,-82.25,79.5,0.0
29.0,-81.0,75.3,24.9
28.25,-82.25,87.6,0.0
26.75,-80.25,86.6,0.0
28.5,-82.5,82.9,1.4
30.25,-84.25,96.8,0.4
26.5,-80.25,88.8,1.5
27.75,-80.5,90.5,0.3
28.5,-81.5,82.6,10.4
28.0,-81.75,86.8,0.8
27.25,-82.5,86.8,0.4
27.25,-82.5,86.8,0.4
27.25,-82.5,86.8,0.4
27.25,-82.5,86.8,0.4
27.25,-82.5,86.8,0.4
